Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120542-87691,QB,Malik,Malik Willis,Willis,7.399999891008649,7,6000,GB@CLE,GB,CLE,,,,,,QB
120542-29358,QB,Marcus,Marcus Mariota,Mariota,7.643333435058594,6,6000,LV@WAS,WAS,LV,,,,,,QB
120542-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666704813639,3,6000,PIT@NE,PIT,NE,IR,Hamstring,,,,QB
120542-70324,QB,Carson,Carson Wentz,Wentz,1.1799999475479126,4,6000,CIN@MIN,MIN,CIN,,,,,,QB
120542-90813,QB,Clayton,Clayton Tune,Tune,-0.3466666539510091,6,6000,GB@CLE,GB,CLE,,,,,,QB
120542-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,12.649999618530273,2,6000,ATL@CAR,CAR,ATL,,,,,,WR/FLEX
120542-139985,QB,Bailey,Bailey Zappe,Zappe,4.5,2,6000,GB@CLE,CLE,GB,,,,,,QB
120542-61157,QB,Brett,Brett Rypien,Rypien,0,1,6000,CIN@MIN,CIN,MIN,,,,,,QB
120542-86793,QB,Jake,Jake Haener,Haener,1.7799999713897705,8,6000,NO@SEA,NO,SEA,,,,,,QB
120542-28434,QB,Trevor,Trevor Siemian,Siemian,,0,6000,IND@TEN,TEN,IND,,,,,,QB
120542-154450,QB,Riley,Riley Leonard,Leonard,,0,6000,IND@TEN,IND,TEN,,,,,,QB
120542-8023,QB,Josh,Josh Johnson,Johnson,0.19499999284744263,4,6000,LV@WAS,WAS,LV,,,,,,QB
120542-119641,QB,Brady,Brady Cook,Cook,,0,6000,NYJ@TB,NYJ,TB,,,,,,QB
120542-154462,QB,Jalen,Jalen Milroe,Milroe,0.10000000149011612,1,6000,NO@SEA,SEA,NO,,,,,,QB
120542-90981,QB,Adrian,Adrian Martinez,Martinez,,0,6000,ARI@SF,SF,ARI,,,,,,QB
120542-92020,QB,Kenny,Kenny Pickett,Pickett,3.6342857905796597,7,6000,LV@WAS,LV,WAS,,,,,,QB
120542-184183,QB,Shedeur,Shedeur Sanders,Sanders,,0,6000,GB@CLE,CLE,GB,,,,,,QB
120542-14225,QB,Andy,Andy Dalton,Dalton,9.708571297781807,7,6000,ATL@CAR,CAR,ATL,,,,,,QB
120542-200653,QB,Max,Max Brosmer,Brosmer,,0,6000,CIN@MIN,MIN,CIN,,,,,,QB
120542-85983,QB,Hendon,Hendon Hooker,Hooker,0.6700000166893005,4,6000,ATL@CAR,CAR,ATL,,,,,,QB
120542-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,DEN@LAC,LAC,DEN,,,,,,QB
120542-79970,WR,Cooper,Cooper Kupp,Kupp,7.5,2,5900,NO@SEA,SEA,NO,,,,,,WR/FLEX
120542-94370,WR,Romeo,Romeo Doubs,Doubs,9.050000190734863,2,5900,GB@CLE,GB,CLE,,,,,,WR/FLEX
120542-25079,WR,Stefon,Stefon Diggs,Diggs,6.949999809265137,2,5900,PIT@NE,NE,PIT,,,,,,WR/FLEX
120542-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,11.199999809265137,2,5900,PIT@NE,NE,PIT,,,,,,RB/FLEX
120542-71706,TE,T.J.,T.J. Hockenson,Hockenson,2.3499999046325684,2,5800,CIN@MIN,MIN,CIN,,,,,,TE/FLEX
120542-69777,WR,Darnell,Darnell Mooney,Mooney,3,1,5800,ATL@CAR,ATL,CAR,,,,,,WR/FLEX
120542-90561,WR,Jerry,Jerry Jeudy,Jeudy,8.100000381469727,2,5800,GB@CLE,CLE,GB,,,,,,WR/FLEX
120542-120639,WR,Quentin,Quentin Johnston,Johnston,18.399999618530273,2,5800,DEN@LAC,LAC,DEN,,,,,,WR/FLEX
120542-86875,RB,Jordan,Jordan Mason,Mason,6.400000095367432,2,5800,CIN@MIN,MIN,CIN,,,,,,RB/FLEX
120542-166916,WR,Matthew,Matthew Golden,Golden,2.049999952316284,2,5700,GB@CLE,GB,CLE,,,,,,WR/FLEX
120542-64808,TE,Juwan,Juwan Johnson,Johnson,12.5,2,5700,NO@SEA,NO,SEA,,,,,,TE/FLEX
120542-53562,RB,Nick,Nick Chubb,Chubb,10.100000381469727,2,5700,HOU@JAC,HOU,JAC,,,,,,RB/FLEX
120542-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,11.5,2,5700,IND@TEN,IND,TEN,,,,,,WR/FLEX
120542-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,5.199999809265137,2,5700,GB@CLE,GB,CLE,,,,,,WR/FLEX
120542-170287,WR,Rashid,Rashid Shaheed,Shaheed,9.75,2,5600,NO@SEA,NO,SEA,,,,,,WR/FLEX
120542-137530,TE,Tyler,Tyler Warren,Warren,10.649999618530273,2,5600,IND@TEN,IND,TEN,,,,,,TE/FLEX
120542-102796,WR,Ricky,Ricky Pearsall,Pearsall,11.5,2,5600,ARI@SF,SF,ARI,,,,,,WR/FLEX
120542-169410,RB,Quinshon,Quinshon Judkins,Judkins,8.600000381469727,1,5600,GB@CLE,CLE,GB,,,,,,RB/FLEX
120542-184184,WR,Travis,Travis Hunter,Hunter,5,2,5600,HOU@JAC,JAC,HOU,,,,,,WR/FLEX
